OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,ItemsInCart,ReferralSource,CustomerRating,TotalPrice
ORD000040,2023-01-02 15:00:00,C13890,Monitor,5.0,4234.370359367665,152 Main St,Debit Card,Shipped,5.0,Google,,21171.851796838324
ORD000041,2023-01-02 16:00:00,C51606,Chair,3.0,647.8056053559151,853 Main St,Cash,Pending,,Google,1.5799681680108209,1943.4168160677452
ORD000042,2023-01-02 17:00:00,C90038,Laptop,1.0,1405.3583774580363,585 Main St,Credit Card,Shipped,7.0,Instagram,2.618065635293851,1405.3583774580363
ORD000043,2023-01-02 18:00:00,C97313,Printer,4.0,413.7746948415153,743 Main St,Cash,Shipped,2.0,Google,4.735245100039872,1655.0987793660613
ORD000044,2023-01-02 19:00:00,C20627,Phone,3.0,224.64864299501988,589 Main St,Cash,Pending,1.0,Facebook,1.7801579389321978,673.9459289850597
ORD000045,2023-01-02 20:00:00,C18792,Chair,5.0,5017.093737822821,463 Main St,Online,Returned,2.0,Instagram,4.3751653778660025,25085.468689114103
ORD000046,2023-01-02 21:00:00,C83969,Phone,1.0,1455.5166278120594,211 Main St,Gift Card,Delivered,,Facebook,4.273070272638362,1455.5166278120594
ORD000047,2023-01-02 22:00:00,C53001,Laptop,2.0,597.8668599044206,508 Main St,Debit Card,Shipped,,Facebook,4.945318618205359,1195.7337198088412
ORD000048,2023-01-02 23:00:00,C86552,Tablet,2.0,139.9533072617332,106 Main St,Credit Card,Shipped,3.0,Google,,279.9066145234664
ORD000049,2023-01-03 00:00:00,C33897,Tablet,5.0,541.9926375988728,841 Main St,Gift Card,Shipped,9.0,Google,2.2613014215205838,2709.9631879943636
ORD000050,2023-01-03 01:00:00,C78148,Printer,1.0,783.6008987633597,767 Main St,Gift Card,Cancelled,4.0,Facebook,,783.6008987633597
ORD000051,2023-01-03 02:00:00,C33483,Laptop,4.0,284.78835961670984,296 Main St,Credit Card,Cancelled,9.0,Google,1.9363162368091182,1139.1534384668394
ORD000052,2023-01-03 03:00:00,C58555,Chair,3.0,1004.2482161819134,934 Main St,Gift Card,Pending,,Google,3.1916038279484362,3012.7446485457403
ORD000053,2023-01-03 04:00:00,C27159,Printer,1.0,1496.736614064791,975 Main St,Online,Shipped,1.0,Google,3.829379836764225,1496.736614064791
ORD000054,2023-01-03 05:00:00,C90077,Laptop,2.0,705.0222401730936,834 Main St,Gift Card,Delivered,,Email,,1410.0444803461871
ORD000055,2023-01-03 06:00:00,C45920,Desk,5.0,564.3564072588083,466 Main St,Online,Shipped,2.0,Facebook,4.753651781779036,2821.7820362940415
ORD000056,2023-01-03 07:00:00,C77121,Monitor,5.0,631.0210419099766,349 Main St,Debit Card,Shipped,4.0,Referral,3.6627901922956814,3155.105209549883
ORD000057,2023-01-03 08:00:00,C79479,Printer,3.0,216.96195867304164,694 Main St,Debit Card,Cancelled,2.0,Facebook,1.1885572330793002,650.8858760191249
ORD000058,2023-01-03 09:00:00,C99475,Printer,5.0,1330.7467220680246,339 Main St,Cash,Shipped,2.0,Instagram,1.5429501250436557,6653.733610340123
ORD000059,2023-01-03 10:00:00,C29457,Chair,5.0,651.4972005059603,479 Main St,Online,Delivered,3.0,Google,1.7631262803662544,3257.4860025298017
ORD000060,2023-01-03 11:00:00,C76557,Phone,1.0,611.5478965660199,971 Main St,Debit Card,Delivered,,Google,1.9798294559737988,611.5478965660199
ORD000061,2023-01-03 12:00:00,C87189,Desk,4.0,1006.5508957491878,934 Main St,Gift Card,Returned,4.0,Referral,3.922709480117746,4026.2035829967513
ORD000062,2023-01-03 13:00:00,C88953,Chair,3.0,690.9484603501292,570 Main St,Credit Card,Cancelled,2.0,Instagram,,2072.8453810503875
ORD000063,2023-01-03 14:00:00,C62995,Laptop,1.0,989.9385297713768,874 Main St,Credit Card,Pending,2.0,Email,,989.9385297713768
ORD000064,2023-01-03 15:00:00,C50757,Laptop,4.0,139.09712068964188,800 Main St,Online,Delivered,6.0,Facebook,4.645533293312006,556.3884827585675
ORD000065,2023-01-03 16:00:00,C19692,Laptop,1.0,1229.8988483972298,554 Main St,Cash,Shipped,7.0,Email,,1229.8988483972298
ORD000066,2023-01-03 17:00:00,C55758,Laptop,1.0,1413.7307316751337,465 Main St,Gift Card,Shipped,6.0,Instagram,2.061986255354143,1413.7307316751337
ORD000067,2023-01-03 18:00:00,C82409,Phone,,990.7098099311096,389 Main St,Online,Delivered,7.0,Referral,4.828225185921239,990.7098099311096
ORD000068,2023-01-03 19:00:00,C81211,Desk,4.0,1434.1205968452755,973 Main St,Credit Card,Delivered,1.0,Instagram,1.9772635678747297,5736.482387381102
ORD000069,2023-01-03 20:00:00,C75697,Tablet,3.0,269.5768558364468,502 Main St,Online,Delivered,6.0,Referral,4.620398485070571,808.7305675093403
ORD000070,2023-01-03 21:00:00,C47065,Monitor,3.0,742.2534747465129,157 Main St,Gift Card,Shipped,3.0,Email,,2226.7604242395387
ORD000071,2023-01-03 22:00:00,C42606,Phone,4.0,922.6197642208986,620 Main St,Debit Card,Shipped,1.0,Email,3.9620841478351445,3690.4790568835942
ORD000072,2023-01-03 23:00:00,C21534,Phone,5.0,893.5181387607207,403 Main St,Gift Card,Shipped,8.0,Instagram,4.059757273606465,4467.590693803603
ORD000073,2023-01-04 00:00:00,C50397,Tablet,2.0,632.1195796791127,214 Main St,Debit Card,Delivered,4.0,Instagram,3.026277248228837,1264.2391593582254
ORD000074,2023-01-04 01:00:00,C11016,Tablet,1.0,540.222393581079,309 Main St,Debit Card,Delivered,8.0,Google,4.258314904010675,540.222393581079
ORD000075,2023-01-04 02:00:00,C99789,Monitor,5.0,233.89483269810725,140 Main St,Debit Card,Delivered,4.0,Referral,4.344772391009961,1169.4741634905363
ORD000076,2023-01-04 03:00:00,C65591,Monitor,4.0,618.0265533153033,915 Main St,Online,Shipped,4.0,Google,2.4419468867044682,2472.1062132612133
ORD000077,2023-01-04 04:00:00,C99812,Tablet,1.0,285.85818190295345,272 Main St,Credit Card,Shipped,4.0,Facebook,2.601378072865501,285.85818190295345
ORD000078,2023-01-04 05:00:00,C33247,Laptop,3.0,1114.8302309137166,333 Main St,Online,Cancelled,,Facebook,4.555026874156104,3344.49069274115
ORD000079,2023-01-04 06:00:00,C34300,Phone,2.0,352.80485646715545,892 Main St,Credit Card,Cancelled,9.0,Instagram,3.098917041718097,705.6097129343109
ORD000080,2023-01-04 07:00:00,C84065,Chair,3.0,134.9196926625741,983 Main St,Gift Card,Shipped,5.0,Email,4.467773983767476,404.7590779877223
ORD000081,2023-01-04 08:00:00,C92798,Monitor,4.0,850.9308998349898,689 Main St,Cash,Delivered,8.0,Facebook,,3403.723599339959
ORD000082,2023-01-04 09:00:00,C19268,Monitor,1.0,913.0831124431323,719 Main St,Gift Card,Shipped,8.0,Facebook,3.3742710269961695,913.0831124431323
ORD000083,2023-01-04 10:00:00,C96807,Tablet,4.0,1314.273938856733,892 Main St,Online,Cancelled,4.0,Google,1.1239238131114475,5257.095755426932
ORD000084,2023-01-04 11:00:00,C22185,Desk,1.0,886.6233380056387,502 Main St,Online,Pending,9.0,Google,2.111577591362999,886.6233380056387
ORD000085,2023-01-04 12:00:00,C73704,Chair,5.0,550.9472378989963,138 Main St,Credit Card,Delivered,9.0,Facebook,3.0082305876092725,2754.7361894949813
ORD000086,2023-01-04 13:00:00,C96779,Chair,2.0,1214.3672282131647,218 Main St,Online,Delivered,5.0,Instagram,,2428.7344564263294
ORD000087,2023-01-04 14:00:00,C49099,Monitor,5.0,833.4043951217606,434 Main St,Debit Card,Shipped,6.0,Google,3.5217381160029366,4167.021975608803
ORD000088,2023-01-04 15:00:00,C18571,Laptop,5.0,164.95641271522803,435 Main St,Online,Delivered,5.0,Facebook,3.864891300046468,824.7820635761401
ORD000089,2023-01-04 16:00:00,C48044,Desk,4.0,870.4833124542076,638 Main St,Credit Card,Delivered,3.0,Email,,3481.9332498168305
ORD000090,2023-01-04 17:00:00,C61214,Chair,2.0,1366.6268908614104,715 Main St,Credit Card,Delivered,,Google,4.3943068295832015,2733.253781722821
ORD000091,2023-01-04 18:00:00,C71228,Monitor,1.0,624.6533069724198,173 Main St,Debit Card,Delivered,9.0,Facebook,2.1818813715500536,624.6533069724198
ORD000092,2023-01-04 19:00:00,C58984,Chair,,479.6724127547101,290 Main St,Credit Card,Shipped,4.0,Referral,3.5662799426635696,479.6724127547101
ORD000093,2023-01-04 20:00:00,C50774,Printer,3.0,258.03071267612904,423 Main St,Cash,Returned,9.0,Google,1.2046380567850852,774.0921380283871
ORD000094,2023-01-04 21:00:00,C12568,Desk,1.0,269.5960068062681,246 Main St,Gift Card,Cancelled,9.0,Referral,2.9207603092881116,269.5960068062681
ORD000095,2023-01-04 22:00:00,C72592,Desk,4.0,677.5186522956374,866 Main St,Online,Shipped,7.0,Google,2.07213186380757,2710.0746091825495
ORD000096,2023-01-04 23:00:00,C77563,Printer,5.0,913.7357450342179,383 Main St,Cash,Delivered,8.0,Google,2.523548593178784,4568.678725171089
ORD000097,2023-01-05 00:00:00,C12695,Phone,5.0,166.89233749592253,312 Main St,Online,Shipped,3.0,Referral,,834.4616874796127
ORD000098,2023-01-05 01:00:00,C58190,Printer,5.0,1412.3744540864902,734 Main St,Cash,Shipped,5.0,Instagram,1.241722708610551,7061.872270432451
ORD000099,2023-01-05 02:00:00,C15258,Tablet,2.0,1144.943745295534,817 Main St,Online,Shipped,3.0,Facebook,2.866583203005502,2289.887490591068
ORD000100,2023-01-05 03:00:00,C97538,Tablet,1.0,6208.276328768183,851 Main St,Debit Card,Delivered,7.0,Instagram,4.978517151966214,6208.276328768183
ORD000101,2023-01-05 04:00:00,C49504,Monitor,4.0,1251.2360728615367,493 Main St,Credit Card,Pending,6.0,Instagram,2.1957442273459344,5004.944291446147
ORD000102,2023-01-05 05:00:00,C43159,Desk,2.0,166.2707973775643,438 Main St,Credit Card,Delivered,3.0,Facebook,3.9445838866730027,332.5415947551286
ORD000103,2023-01-05 06:00:00,C23986,Phone,3.0,741.4163727130303,897 Main St,Debit Card,Delivered,9.0,Email,3.1911533396817426,2224.249118139091
ORD000104,2023-01-05 07:00:00,C71858,Phone,4.0,963.635033949412,121 Main St,Cash,Shipped,1.0,Instagram,2.3009012021258948,3854.540135797648
ORD000105,2023-01-05 08:00:00,C22666,Chair,4.0,7834.108377945951,870 Main St,Gift Card,Shipped,3.0,Instagram,1.3584282415696847,31336.433511783805
ORD000106,2023-01-05 09:00:00,C48660,Chair,4.0,1186.0308620714382,968 Main St,Cash,Shipped,,Instagram,,4744.123448285753
ORD000107,2023-01-05 10:00:00,C13561,Printer,5.0,451.75041208442946,204 Main St,Credit Card,Cancelled,3.0,Email,,2258.752060422147
ORD000108,2023-01-05 11:00:00,C36854,Phone,4.0,1414.2762458608463,565 Main St,Gift Card,Returned,3.0,Google,,5657.104983443385
ORD000109,2023-01-05 12:00:00,C74505,Printer,1.0,230.30147007476202,558 Main St,Online,Shipped,2.0,Referral,,230.30147007476202
ORD000110,2023-01-05 13:00:00,C62251,Printer,4.0,1318.9437470006706,531 Main St,Gift Card,Delivered,9.0,Referral,2.3251933618426923,5275.774988002682
ORD000111,2023-01-05 14:00:00,C32662,Chair,5.0,1457.8633619266968,869 Main St,Cash,Returned,4.0,Email,3.336171808910761,7289.316809633484
ORD000112,2023-01-05 15:00:00,C18392,Desk,4.0,306.8726086728071,815 Main St,Debit Card,Shipped,,Instagram,3.8138526571599964,1227.4904346912283
ORD000113,2023-01-05 16:00:00,C40535,Printer,3.0,1096.9957930954886,921 Main St,Online,Cancelled,2.0,Referral,2.54945934787832,3290.9873792864655
ORD000114,2023-01-05 17:00:00,C88603,Laptop,3.0,108.41400222809777,873 Main St,Cash,Delivered,,Email,,325.2420066842933
ORD000115,2023-01-05 18:00:00,C62256,Desk,5.0,637.8630964517747,718 Main St,Online,Delivered,7.0,Facebook,2.819666768133846,3189.3154822588735
ORD000116,2023-01-05 19:00:00,C99135,Phone,1.0,798.6107838366273,862 Main St,Gift Card,Shipped,5.0,Referral,1.0360133996937075,798.6107838366273
ORD000117,2023-01-05 20:00:00,C45222,Phone,1.0,891.9355775689694,320 Main St,Credit Card,Delivered,7.0,Facebook,2.582401899423393,891.9355775689694
ORD000118,2023-01-05 21:00:00,C87373,Printer,2.0,1407.1090099604112,478 Main St,Cash,Cancelled,,Instagram,,2814.2180199208224
ORD000119,2023-01-05 22:00:00,C89575,Desk,5.0,1024.7634965765824,321 Main St,Debit Card,Shipped,7.0,Referral,,5123.817482882912
ORD000120,2023-01-05 23:00:00,C94651,Chair,4.0,747.8530292678937,357 Main St,Gift Card,Delivered,2.0,Email,,2991.412117071575
ORD000121,2023-01-06 00:00:00,C73335,Chair,5.0,1224.0288025855396,812 Main St,Cash,Shipped,7.0,Google,3.681503641741355,6120.144012927698
ORD000122,2023-01-06 01:00:00,C20965,Tablet,2.0,1428.272590383893,466 Main St,Debit Card,Pending,,Referral,2.107227188464615,2856.545180767786
ORD000123,2023-01-06 02:00:00,C34538,Phone,5.0,449.36876588963054,869 Main St,Cash,Delivered,4.0,Referral,2.0225746862358505,2246.8438294481525
ORD000124,2023-01-06 03:00:00,C80592,Monitor,5.0,1474.6558447712562,448 Main St,Gift Card,Pending,1.0,Referral,,7373.279223856281
ORD000125,2023-01-06 04:00:00,C18110,Tablet,2.0,174.89160164233647,324 Main St,Cash,Shipped,,Referral,3.9318786708866194,349.78320328467294
ORD000126,2023-01-06 05:00:00,C89309,Chair,1.0,1230.860829939704,813 Main St,Online,Shipped,5.0,Email,1.3753092263038575,1230.860829939704
ORD000127,2023-01-06 06:00:00,C37266,Desk,4.0,456.48539119954813,837 Main St,Gift Card,Shipped,,Email,4.793306332144649,1825.9415647981925
ORD000128,2023-01-06 07:00:00,C62992,Chair,2.0,241.66050374311405,335 Main St,Cash,Shipped,2.0,Google,3.1726124948257266,483.3210074862281
ORD000129,2023-01-06 08:00:00,C92948,Desk,,687.7906775850606,282 Main St,Credit Card,Shipped,4.0,Email,2.2256335797340028,687.7906775850606
ORD000130,2023-01-06 09:00:00,C16910,Tablet,1.0,983.7370401990396,811 Main St,Cash,Delivered,,Email,,983.7370401990396
ORD000131,2023-01-06 10:00:00,C10206,Phone,3.0,602.3801752840387,968 Main St,Online,Shipped,,Instagram,,1807.1405258521163
ORD000132,2023-01-06 11:00:00,C97054,Chair,1.0,129.1198420099135,857 Main St,Debit Card,Delivered,1.0,Instagram,2.9375876631322515,129.1198420099135
ORD000133,2023-01-06 12:00:00,C97897,Printer,4.0,919.2186525051391,543 Main St,Debit Card,Shipped,6.0,Facebook,2.943878589855236,3676.8746100205562
ORD000134,2023-01-06 13:00:00,C33419,Desk,4.0,1358.4847503604783,964 Main St,Debit Card,Delivered,7.0,Google,,5433.939001441913
ORD000135,2023-01-06 14:00:00,C60636,Phone,5.0,605.6622806235149,722 Main St,Credit Card,Cancelled,3.0,Instagram,,3028.3114031175746
ORD000136,2023-01-06 15:00:00,C60015,Monitor,3.0,363.68252756469917,105 Main St,Online,Delivered,1.0,Google,,1091.0475826940974
ORD000137,2023-01-06 16:00:00,C64268,Desk,1.0,691.7371516025823,335 Main St,Gift Card,Returned,,Google,1.610929577814836,691.7371516025823
ORD000138,2023-01-06 17:00:00,C97939,Tablet,4.0,120.12593102073227,226 Main St,Debit Card,Shipped,3.0,Referral,2.45530917425351,480.50372408292907
ORD000139,2023-01-06 18:00:00,C28141,Monitor,2.0,1239.7069974963986,203 Main St,Online,Shipped,,Google,,2479.413994992797
ORD000140,2023-01-06 19:00:00,C90356,Monitor,4.0,1248.1941758777707,848 Main St,Cash,Shipped,6.0,Referral,4.394435027356787,4992.776703511083
ORD000141,2023-01-06 20:00:00,C81910,Laptop,,902.6006719729612,579 Main St,Credit Card,Shipped,4.0,Facebook,2.2932804149945634,902.6006719729612
ORD000142,2023-01-06 21:00:00,C66044,Chair,1.0,561.9991889606647,254 Main St,Online,Delivered,6.0,Facebook,,561.9991889606647
ORD000143,2023-01-06 22:00:00,C77214,Desk,4.0,1209.685878446386,356 Main St,Online,Shipped,,Facebook,2.295487800082266,4838.743513785544
ORD000144,2023-01-06 23:00:00,C43827,Monitor,4.0,854.2961859431324,334 Main St,Gift Card,Delivered,8.0,Referral,,3417.1847437725296
ORD000145,2023-01-07 00:00:00,C65820,Laptop,1.0,1247.6018473975234,599 Main St,Online,Shipped,9.0,Referral,,1247.6018473975234
ORD000146,2023-01-07 01:00:00,C72623,Tablet,4.0,965.6152492453799,388 Main St,Gift Card,Returned,2.0,Facebook,3.9902649367192926,3862.4609969815197
ORD000147,2023-01-07 02:00:00,C91734,Phone,2.0,1187.3879361585562,609 Main St,Credit Card,Returned,7.0,Referral,3.071152681922278,2374.7758723171123
ORD000148,2023-01-07 03:00:00,C85450,Printer,4.0,5677.503072498771,651 Main St,Credit Card,Shipped,9.0,Email,,22710.012289995084
ORD000149,2023-01-07 04:00:00,C32299,Printer,3.0,650.504548912716,899 Main St,Cash,Shipped,9.0,Email,3.0466527894318265,1951.513646738148
ORD000150,2023-01-07 05:00:00,C53585,Desk,5.0,1439.0214968928994,808 Main St,Gift Card,Pending,5.0,Referral,,7195.107484464497
ORD000151,2023-01-07 06:00:00,C74044,Monitor,2.0,834.6150460743248,884 Main St,Gift Card,Returned,1.0,Referral,1.26402573251973,1669.2300921486496
ORD000152,2023-01-07 07:00:00,C52557,Printer,3.0,927.3798018837806,993 Main St,Debit Card,Shipped,6.0,Instagram,,2782.139405651342
ORD000153,2023-01-07 08:00:00,C59080,Chair,1.0,369.7070771513864,875 Main St,Debit Card,Shipped,8.0,Instagram,3.998985434513577,369.7070771513864
ORD000154,2023-01-07 09:00:00,C12693,Printer,2.0,9164.244457614104,668 Main St,Cash,Returned,1.0,Google,,18328.48891522821
ORD000155,2023-01-07 10:00:00,C79163,Printer,5.0,878.8310917502686,397 Main St,Credit Card,Cancelled,2.0,Google,1.1188332213870105,4394.155458751343
ORD000156,2023-01-07 11:00:00,C35939,Printer,5.0,318.0156770231862,709 Main St,Debit Card,Shipped,1.0,Google,2.472120210747228,1590.0783851159308
ORD000157,2023-01-07 12:00:00,C58925,Laptop,1.0,136.40129116205838,236 Main St,Online,Delivered,5.0,Facebook,1.8951297444656436,136.40129116205838
ORD000158,2023-01-07 13:00:00,C52941,Monitor,1.0,926.3210135864181,475 Main St,Credit Card,Returned,2.0,Email,4.260821124661847,926.3210135864181
ORD000159,2023-01-07 14:00:00,C31834,Chair,2.0,1157.3537905579647,186 Main St,Online,Pending,4.0,Facebook,4.383872578618565,2314.7075811159293
ORD000160,2023-01-07 15:00:00,C28047,Monitor,4.0,808.931987836912,518 Main St,Gift Card,Cancelled,1.0,Referral,1.825635470767581,3235.727951347648
ORD000161,2023-01-07 16:00:00,C36105,Desk,1.0,378.8203067134863,853 Main St,Credit Card,Cancelled,7.0,Instagram,3.8433090137394887,378.8203067134863
ORD000162,2023-01-07 17:00:00,C85766,Desk,4.0,1016.4568662049006,298 Main St,Cash,Shipped,8.0,Referral,3.9270241492057143,4065.8274648196025
ORD000163,2023-01-07 18:00:00,C25707,Desk,3.0,166.15330358392328,562 Main St,Gift Card,Pending,5.0,Referral,1.7082307871302813,498.4599107517698
ORD000164,2023-01-07 19:00:00,C31976,Tablet,5.0,690.6588719628342,536 Main St,Gift Card,Shipped,2.0,Instagram,2.734783668032943,3453.294359814171
ORD000165,2023-01-07 20:00:00,C54262,Printer,4.0,286.8817996777093,409 Main St,Online,Returned,8.0,Referral,3.4813512217751983,1147.5271987108372
ORD000166,2023-01-07 21:00:00,C33776,Tablet,5.0,317.4656240368309,695 Main St,Gift Card,Shipped,1.0,Google,,1587.3281201841544
ORD000167,2023-01-07 22:00:00,C40080,Laptop,4.0,343.3262262793953,853 Main St,Debit Card,Pending,7.0,Instagram,2.618367332183531,1373.3049051175813
ORD000168,2023-01-07 23:00:00,C76842,Desk,3.0,610.7252327137679,380 Main St,Credit Card,Shipped,1.0,Referral,1.6198329317904827,1832.1756981413037
ORD000169,2023-01-08 00:00:00,C71373,Chair,1.0,124.16779814957656,422 Main St,Debit Card,Delivered,6.0,Google,3.167586004483549,124.16779814957656
ORD000170,2023-01-08 01:00:00,C16776,Monitor,3.0,626.8004893471924,863 Main St,Online,Shipped,6.0,Google,,1880.4014680415771
ORD000171,2023-01-08 02:00:00,C65016,Printer,1.0,791.9757983163162,801 Main St,Online,Delivered,5.0,Email,3.099015754504149,791.9757983163162
ORD000172,2023-01-08 03:00:00,C19474,Phone,1.0,6325.406234789291,251 Main St,Credit Card,Pending,2.0,Google,1.1439343848347359,6325.406234789291
ORD000173,2023-01-08 04:00:00,C68053,Chair,5.0,605.0369455844088,401 Main St,Gift Card,Cancelled,2.0,Facebook,,3025.184727922044
ORD000174,2023-01-08 05:00:00,C31959,Printer,3.0,1266.762581702591,377 Main St,Cash,Delivered,9.0,Instagram,3.4220125836165973,3800.287745107773
ORD000175,2023-01-08 06:00:00,C15530,Tablet,4.0,260.72370400973097,750 Main St,Online,Shipped,5.0,Instagram,,1042.8948160389239
ORD000176,2023-01-08 07:00:00,C13748,Tablet,3.0,783.2602784829922,787 Main St,Credit Card,Returned,5.0,Instagram,3.2906660138875705,2349.7808354489766
ORD000177,2023-01-08 08:00:00,C23545,Chair,5.0,139.96005458700373,107 Main St,Cash,Cancelled,7.0,Referral,1.6545484356639504,699.8002729350186
